"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"EP1","E&P FINANCIAL GROUP LIMITED","2018-05-14","Diversified Financials",123593647
"EPM","ECLIPSE METALS LIMITED.","2011-02-17","Energy",32388110
"EPN","EPSILON HEALTHCARE LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",8409912
"EPX","EP&T GLOBAL LIMITED","2021-05-12","Software & Services",10672843
"EPY","EARLYPAY LTD","2010-02-23","Diversified Financials",57985738
"EQE","EQUUS MINING LIMITED","1995-12-12","Materials",14948620
"EQN","EQUINOX RESOURCES LIMITED.","2021-10-13","Materials",12415000
"EQR","EQ RESOURCES LIMITED","2006-06-06","Materials",70055373
"EQS","EQUITY STORY GROUP LTD","2022-05-03","Diversified Financials",4279739
"EQT","EQT HOLDINGS LIMITED","1985-08-06","Diversified Financials",656719026
"EQX","EQUATORIAL RESOURCES LIMITED","1987-05-14","Materials",23929617
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","1980-11-19","Energy",793647388
"ERD","EROAD LIMITED","2020-09-18","Technology Hardware & Equipment",93481582
"ERG","ENECO REFRESH LTD","2006-03-29","Food, Beverage & Tobacco",5719525
"ERL","EMPIRE RESOURCES LIMITED","2007-02-01","Materials",6677610
"ERM","EMMERSON RESOURCES LIMITED","2007-12-17","Materials",41397944
"ERW","ERRAWARRA RESOURCES LTD","2020-12-14","Materials",13915920
"ESK","ETHERSTACK PLC","2012-09-07","Software & Services",58841776
"ESR","ESTRELLA RESOURCES LIMITED","2012-05-09","Materials",22253578
"ESS","ESSENTIAL METALS LIMITED","2003-12-04","Materials",80120008
"ETM","ENERGY TRANSITION MINERALS LTD","2006-06-20","Materials",94902081
"ETR","ENTYR LIMITED","2006-11-02","Commercial & Professional Services",19375623
"EUR","EUROPEAN LITHIUM LIMITED","2010-12-02","Materials",105794460
"EV1","EVOLUTION ENERGY MINERALS LIMITED","2021-11-16","Materials",45562500
"EVE","EVE HEALTH GROUP LIMITED.","2004-04-08","Diversified Financials",10548965
"EVG","EVION GROUP NL","2018-01-19","Materials",19847969
"EVN","EVOLUTION MINING LIMITED","2002-08-20","Materials",5541749283
"EVO","EMBARK EDUCATION LIMITED","2014-12-05","Consumer Services",84561227
"EVR","EV RESOURCES LTD","1994-12-07","Materials",13005777
"EVS","ENVIROSUITE LIMITED","2008-02-11","Software & Services",157488969
"EVT","EVT LIMITED","1962-06-30","Media & Entertainment",2026276025
"EVZ","EVZ LIMITED","1985-04-26","Capital Goods",18093288
"EWC","ENERGY WORLD CORPORATION LTD","1988-12-08","Utilities",122582330
"EWCN","ENERGY WORLD CORPORATION LTD","1988-12-08","Utilities",122582330
"EX1","EXOPHARM LIMITED","2018-12-18","Pharmaceuticals, Biotechnology & Life Sciences",9432692
"EXL","ELIXINOL WELLNESS LIMITED","2018-01-08","Household & Personal Products",7274108
"EXP","EXPERIENCE CO LIMITED","2015-03-27","Consumer Services",165880752
"EXR","ELIXIR ENERGY LIMITED","2004-07-19","Energy",136865597
"EYE","NOVA EYE MEDICAL LIMITED","1987-10-12","Health Care Equipment & Services",40847366
"EZL","EUROZ HARTLEYS GROUP LIMITED","1971-08-02","Diversified Financials",179623873
"EZZ","EZZ LIFE SCIENCE HOLDINGS LIMITED","2021-03-03","Retailing",14752200
"FAL","FALCON METALS LTD","2021-12-22","Materials",46020000
"FAR","FAR LIMITED","1986-01-23","Energy",72189613
"FAU","FIRST AU LIMITED","1970-01-01","Materials",3807973
"FBR","FBR LTD","2001-02-08","Capital Goods",130713286
"FBU","FLETCHER BUILDING LIMITED","2001-03-26","Materials",3484852240
"FCL","FINEOS CORPORATION HOLDINGS PLC","2019-08-16","Software & Services",470087453
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","2011-05-11","Software & Services",98107966
"FDR","FINDER ENERGY HOLDINGS LIMITED","2022-04-08","Energy",13230000
"FDV","FRONTIER DIGITAL VENTURES LIMITED","2016-08-26","Media & Entertainment",257934779
"FEG","FAR EAST GOLD LTD","2022-03-28","Materials",106405408
"FEX","FENIX RESOURCES LTD","2008-08-04","Materials",137172771
"FFF","FORBIDDEN FOODS LIMITED","2020-08-31","Food, Beverage & Tobacco",3231347
"FFG","FATFISH GROUP LIMITED","1995-11-23","Diversified Financials",18654838
"FFI","FFI HOLDINGS LIMITED","1987-01-15","Food, Beverage & Tobacco",48421652
"FFT","FUTURE FIRST TECHNOLOGIES LTD","2013-12-02","Commercial & Professional Services",15633670
"FFX","FIREFINCH LIMITED","2006-12-06","Materials","N/A"
"FG1","FLYNN GOLD LIMITED","2021-06-17","Materials",10934574
"FGG","FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED","2015-09-10","Not Applic",448677750
"FGL","FRUGL GROUP LIMITED","2004-08-10","Software & Services",2648496
"FGR","FIRST GRAPHENE LIMITED","1994-08-08","Materials",63944803
"FGX","FUTURE GENERATION INVESTMENT COMPANY LIMITED","1997-03-06","Not Applic",467836392
"FHE","FRONTIER ENERGY LIMITED","2009-12-18","Materials",119915936
"FHS","FREEHILL MINING LIMITED.","2017-01-16","Materials",9634244
"FID","FIDUCIAN GROUP LIMITED","2015-02-09","Diversified Financials",209798357
"FIJ","FIJI KAVA LIMITED","2018-12-20","Household & Personal Products",4284816
"FIN","FIN RESOURCES LIMITED","1989-11-02","Materials",10630116
"FLC","FLUENCE CORPORATION LIMITED","2007-12-18","Capital Goods",110594186
"FLN","FREELANCER LIMITED","2013-11-15","Commercial & Professional Services",113082909
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","1995-12-01","Consumer Services",2842194241
"FLX","FELIX GROUP HOLDINGS LTD","2021-01-12","Software & Services",20373563
"FME","FUTURE METALS NL","2007-08-16","Energy",39741292
"FMG","FORTESCUE METALS GROUP LTD","1987-03-19","Materials",63611415206
"FML","FOCUS MINERALS LTD","2000-09-13","Materials",57311729
"FMS","FLINDERS MINES LIMITED","1981-02-12","Materials",65006702
"FND","FINDI LIMITED","2001-08-08","Software & Services",18064823
"FNX","FINEXIA FINANCIAL GROUP LIMITED","2006-12-21","Diversified Financials",10699093
"FOD","THE FOOD REVOLUTION GROUP LIMITED","2012-06-29","Food, Beverage & Tobacco",31243135
"FOR","FORAGER AUSTRALIAN SHARES FUND","2016-12-16","Not Applic",152406552
"FOS","FOS CAPITAL LTD","2021-06-07","Capital Goods",10223166
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","2017-03-22","Not Applic",30426948
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","2001-11-21","Health Care Equipment & Services",12241035932
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","2017-10-10","Not Applic",17767101
"FRB","FIREBIRD METALS LIMITED","2021-03-18","Materials",11326625
"FRE","FIREBRICK PHARMA LIMITED","2022-01-28","Pharmaceuticals, Biotechnology & Life Sciences",38916967
"FRI","FINBAR GROUP LIMITED","1994-08-05","Real Estate",170076964
"FRM","FARM PRIDE FOODS LIMITED","1997-12-19","Food, Beverage & Tobacco",7173423
"FRS","FORRESTANIA RESOURCES LIMITED","2021-09-30","Materials",9332388
"FRX","FLEXIROAM LIMITED","2015-06-16","Telecommunication Services",19899312
"FSA","FSA GROUP LIMITED","2001-01-11","Diversified Financials",131512086
"FSF","FONTERRA SHAREHOLDERS' FUND","2012-11-30","Food, Beverage & Tobacco",324381175
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","2005-04-26","Telecommunication Services",75610419
"FSI","FLAGSHIP INVESTMENTS LIMITED","2000-12-20","Not Applic",48870227
"FTC","FINTECH CHAIN LIMITED","2012-11-27","Software & Services",14967701
"FTL","FIRETAIL RESOURCES LIMITED","2022-04-13","Materials",11550000
"FTZ","FERTOZ LIMITED","2013-09-02","Materials",43690253
"FWD","FLEETWOOD LIMITED","1987-04-15","Consumer Durables & Apparel",133884102
"FXG","FELIX GOLD LIMITED","2022-01-31","Materials",20601014
"FYI","FYI RESOURCES LIMITED","1994-01-20","Materials",51284462
"FZO","FAMILY ZONE CYBER SAFETY LIMITED","2016-08-29","Software & Services",257092230
"FZR","FITZROY RIVER CORPORATION LTD","1998-03-04","Energy",18352223
"G1A","GALENA MINING LIMITED","2017-09-07","Materials",156553515
"G50","GOLD 50 LIMITED","2021-08-06","Materials",23262000
"G6M","GROUP 6 METALS LIMITED","1967-09-21","Materials",126290347
"G88","GOLDEN MILE RESOURCES LTD","2017-06-19","Materials",4705564
"GAL","GALILEO MINING LTD","2018-05-29","Materials",156123692
"GAP","GALE PACIFIC LIMITED","2000-12-14","Consumer Durables & Apparel",78772017
"GAS","STATE GAS LIMITED","2017-10-10","Energy",51711430
"GBE","GLOBE METALS & MINING LIMITED","2005-12-09","Materials",31419659
"GBR","GREAT BOULDER RESOURCES LIMITED","2016-11-18","Materials",38381847
"GBZ","GBM RESOURCES LIMITED","2007-10-24","Materials",22510623
"GC1","GLENNON SMALL COMPANIES LIMITED","2015-08-21","Not Applic",33573925
"GCI","GRYPHON CAPITAL INCOME TRUST","2018-05-25","Not Applic",482676417
"GCM","GREEN CRITICAL MINERALS LIMITED","2007-11-15","Materials",17486615
"GCR","GOLDEN CROSS RESOURCES LTD","1996-03-27","Materials",6583537
"GCX","GCX METALS LIMITED","2012-12-20","Energy",7431148
"GCY","GASCOYNE RESOURCES LIMITED","2009-12-11","Materials","N/A"
"GDA","GOOD DRINKS AUSTRALIA LTD","2006-12-13","Food, Beverage & Tobacco",85986678
"GDC","GLOBAL DATA CENTRE GROUP","2019-10-31","Not Applic",83840988
"GDF","GARDA PROPERTY GROUP","2015-07-02","Real Estate",294799447
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","2007-12-11","Insurance",234066707
"GDI","GDI PROPERTY GROUP","2013-12-17","Real Estate",382746501
"GED","GOLDEN DEEPS LIMITED.","1986-12-04","Materials",11552267
"GEM","G8 EDUCATION LIMITED","2007-12-05","Consumer Services",949077153
"GEN","GENMIN LIMITED","2021-03-10","Materials",90026647
"GES","GENESIS RESOURCES LIMITED","2009-10-27","Materials",6262730
"GFL","GLOBAL MASTERS FUND LIMITED","2006-05-16","Not Applic",22733097
"GFN","GEFEN INTERNATIONAL A.I. LTD","2021-07-21","Retailing",7696791
"GGE","GRAND GULF ENERGY LIMITED","1998-03-20","Energy",27838992
"GGX","GAS2GRID LIMITED","2005-05-13","Energy",8178204
"GHY","GOLD HYDROGEN LIMITED",,"Energy",0
"GIB","GIBB RIVER DIAMONDS LIMITED","2008-07-01","Materials",12690567
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","2021-05-06","Materials",433503935
"GLA","GLADIATOR RESOURCES LIMITED","2006-06-27","Materials",9080888
"GLB","GLOBE INTERNATIONAL LIMITED","2001-05-24","Consumer Durables & Apparel",124391454
"GLE","GLG CORP LTD","2005-12-14","Consumer Durables & Apparel",37791000
"GLH","GLOBAL HEALTH LIMITED","2000-04-04","Health Care Equipment & Services",12180710
"GLL","GALILEE ENERGY LIMITED","1996-02-15","Energy",88019750
"GLN","GALAN LITHIUM LIMITED","2011-06-08","Materials",311615513
"GLV","GLOBAL OIL & GAS LIMITED","2005-05-25","Energy",4017407
"GMD","GENESIS MINERALS LIMITED","2007-08-02","Materials",494333112
"GME","GME RESOURCES LIMITED","1980-08-21","Materials",54613034
"GMG","GOODMAN GROUP","2005-02-02","Real Estate",32663748059
"GML","GATEWAY MINING LIMITED","1971-08-02","Materials",11978581
"GMN","GOLD MOUNTAIN LIMITED","2011-09-02","Materials",11047044
"GMR","GOLDEN RIM RESOURCES LTD","1987-08-13","Materials",11771752
"GNC","GRAINCORP LIMITED","1998-03-30","Food & Staples Retailing",1652778304
"GNE","GENESIS ENERGY LIMITED","2014-04-17","Utilities",2558797341
"GNG","GR ENGINEERING SERVICES LIMITED","2011-04-19","Materials",326365849
"GNM","GREAT NORTHERN MINERALS LIMITED","2008-03-05","Materials",6836204
"GNP","GENUSPLUS GROUP LTD","2020-12-14","Capital Goods",182168072
"GNX","GENEX POWER LIMITED","2015-07-08","Utilities",186998914
"GO2","THE GO2 PEOPLE LTD","2017-10-31","Commercial & Professional Services",3768531
"GOR","GOLD ROAD RESOURCES LIMITED","2006-07-04","Materials",1834464568
"GOW","GOWING BROS LIMITED","1962-07-31","Diversified Financials",147671816
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","2007-07-04","Real Estate",2305533755
"GPR","GEOPACIFIC RESOURCES LTD","2006-05-09","Materials",19271954
"GPS","GPS ALLIANCE HOLDINGS LIMITED","2013-07-02","Real Estate","N/A"
"GPT","GPT GROUP","1971-04-01","Real Estate",8122048303
"GQG","GQG PARTNERS INC.","2021-10-26","Diversified Financials",4045343445
"GRE","GREENTECH METALS LIMITED","2022-01-04","Materials",6825000
"GRL","GODOLPHIN RESOURCES LIMITED","2019-12-18","Materials",9351186
"GRR","GRANGE RESOURCES LIMITED.","1986-03-27","Materials",954804426
"GRV","GREENVALE ENERGY LTD","1971-07-28","Energy",50606665
"GRX","GREENX METALS LIMITED","1993-09-06","Materials",136955051
"GSM","GOLDEN STATE MINING LIMITED","2018-11-08","Materials",5031611
"GSN","GREAT SOUTHERN MINING LIMITED","2011-04-14","Materials",16249195
"GSR","GREENSTONE RESOURCES LIMITED","2000-12-12","Materials",29013632
"GSS","GENETIC SIGNATURES LIMITED","2015-03-31","Pharmaceuticals, Biotechnology & Life Sciences",126914306
"GT1","GREEN TECHNOLOGY METALS LIMITED","2021-11-10","Materials",192969064
"GTE","GREAT WESTERN EXPLORATION LIMITED.","2007-06-05","Materials",9253854
"GTG","GENETIC TECHNOLOGIES LIMITED","1987-07-30","Pharmaceuticals, Biotechnology & Life Sciences",27701895
"GTI","GRATIFII LIMITED","2008-07-17","Software & Services",14107059
"GTK","GENTRACK GROUP LIMITED","2014-06-25","Software & Services",242947313
"GTM","GREENTECH MINERALS LTD",,"Semiconductors & Semiconductor Equipment",0
"GTN","GTN LIMITED","2016-06-01","Media & Entertainment",85333134
"GTR","GTI ENERGY LTD","2007-08-10","Materials",16560319
"GUD","G.U.D. HOLDINGS LIMITED","1962-06-30","Automobiles & Components",1049665485
"GUL","GULLEWA LIMITED","1980-06-19","Materials",11722386
"GVF","GLOBAL VALUE FUND LIMITED","2014-07-21","Not Applic",194119689
"GW1","GREENWING RESOURCES LTD","2005-10-20","Materials",34716188
"GWA","GWA GROUP LIMITED.","1993-05-20","Capital Goods",548974584
"GWR","GWR GROUP LIMITED","2004-12-24","Materials",19272999
"H2G","GREENHY2 LIMITED","1980-12-04","Commercial & Professional Services",16750233
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","2022-04-26","Diversified Financials",23311013
"HAR","HARANGA RESOURCES LIMITED.","2022-01-27","Materials",7214434
"HAS","HASTINGS TECHNOLOGY METALS LTD","2008-02-20","Materials",439565248
"HAV","HAVILAH RESOURCES LIMITED","2002-03-21","Materials",98158155
"HAW","HAWTHORN RESOURCES LIMITED","1986-07-03","Materials",36686717
"HCD","HYDROCARBON DYNAMICS LIMITED","2006-04-21","Energy",8218847
"HCF","H&G HIGH CONVICTION LIMITED","2022-10-25","Not Applic",21396749
"HCH","HOT CHILI LIMITED","2010-05-03","Materials",96153391
"HCT","HOLISTA COLLTECH LIMITED","2004-02-26","Household & Personal Products",8085202
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","2021-09-06","Real Estate",542248064
"HDN","HOMECO DAILY NEEDS REIT","2020-11-23","Real Estate",2682033209
"HE8","HELIOS ENERGY LTD","2010-10-20","Energy",195303708
"HFR","HIGHFIELD RESOURCES LIMITED","2012-02-07","Materials",226420033
"HFY","HUBIFY LIMITED","2017-01-12","Telecommunication Services",14884089
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","2018-11-01","Banks",1206099573
"HGL","HUDSON INVESTMENT GROUP LIMITED","1994-06-09","Real Estate",17807981
"HGO","HILLGROVE RESOURCES LIMITED","1994-07-22","Materials",64585898
"HGV","HYGROVEST LIMITED","2015-01-22","Not Applic",16096779
"HHI","HEALTH HOUSE INTERNATIONAL LIMITED","2011-07-28","Health Care Equipment & Services",1782246
"HHR","HARTSHEAD RESOURCES NL","2012-02-14","Energy",89414603
"HIL","HILLS LIMITED","1962-06-30","Technology Hardware & Equipment",12991189
"HIO","HAWSONS IRON LTD","2007-11-14","Materials",65018148
"HIQ","HITIQ LIMITED","2021-06-16","Health Care Equipment & Services",6669482
"HIT","HITECH GROUP AUSTRALIA LIMITED","2000-04-17","Commercial & Professional Services",86623000
"HLA","HEALTHIA LIMITED","2018-09-11","Health Care Equipment & Services",157984339
"HLF","HALO FOOD CO. LIMITED",,,11221553
"HLI","HELIA GROUP LIMITED","2014-05-20","Banks",964441789
"HLO","HELLOWORLD TRAVEL LIMITED","2000-09-13","Consumer Services",203861616
"HLS","HEALIUS LIMITED","1998-07-03","Health Care Equipment & Services",1759823530
"HLX","HELIX RESOURCES LIMITED","1986-05-22","Materials",17423594
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","2018-11-14","Not Applic",526335461
"HMC","HMC CAPITAL LIMITED","2019-10-14","Real Estate",1269279552
"HMD","HERAMED LIMITED","2018-12-12","Health Care Equipment & Services",31545416
"HMG","HAMELIN GOLD LIMITED","2021-11-05","Materials",15950000
"HMI","HIREMII LIMITED","2021-05-11","Commercial & Professional Services",5604272
"HMX","HAMMER METALS LIMITED","2003-02-25","Materials",55034292
"HMY","HARMONEY CORP LIMITED","2020-11-19","Diversified Financials",44176680
"HNG","HANCOCK & GORE LTD","1971-08-24","Capital Goods",63101451
"HNR","HANNANS LTD","2003-12-05","Materials",64070004
"HOR","HORSESHOE METALS LIMITED","2010-07-29","Materials",13798572
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","2021-12-14","Household & Personal Products",14737977
"HPG","HIPAGES GROUP HOLDINGS LTD","2020-11-12","Media & Entertainment",127896687
"HPI","HOTEL PROPERTY INVESTMENTS","2013-12-10","Real Estate",685869074
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","1989-12-14","Food, Beverage & Tobacco",8843093
"HPR","HIGH PEAK ROYALTIES LIMITED","2007-03-30","Energy",12537384
"HRE","HEAVY RARE EARTHS LIMITED","2022-08-24","Class Pend",7851642
"HRN","HORIZON GOLD LIMITED","2016-12-21","Materials",38806309
"HRO","HIRO BRANDS LIMITED","2016-01-14","Consumer Services","N/A"
"HRZ","HORIZON MINERALS LIMITED","1992-02-06","Materials",37993619
"HSC","HSC TECHNOLOGY GROUP LTD","2006-06-02","Software & Services",20057754
"HSN","HANSEN TECHNOLOGIES LIMITED","2000-06-01","Software & Services",1018197876
"HT1","HT&E LIMITED","1992-05-07","Media & Entertainment",302889207
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","1999-06-24","Retailing",4772728
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","1999-08-17","Telecommunication Services",814350515
"HTG","HARVEST TECHNOLOGY GROUP LTD","2016-05-12","Technology Hardware & Equipment",46439033
"HTM","HIGH-TECH METALS LTD",,"Materials",0
"HUB","HUB24 LIMITED","2007-07-05","Diversified Financials",2072706228
"HUM","HUMM GROUP LIMITED","2006-12-12","Diversified Financials",285224248
"HVM","HAPPY VALLEY NUTRITION LIMITED","2020-01-23","Food, Beverage & Tobacco",15302127
"HVN","HARVEY NORMAN HOLDINGS LIMITED","1987-09-03","Retailing",5133547414
"HVY","HEAVY MINERALS LIMITED","2021-09-14","Materials",7811667
"HXG","HEXAGON ENERGY MATERIALS LIMITED","2008-10-30","Materials",8206654
"HXL","HEXIMA LIMITED.","2020-12-01","Pharmaceuticals, Biotechnology & Life Sciences",3173753
"HYD","HYDRIX LIMITED","2001-05-11","Technology Hardware & Equipment",12965161
"HYT","HYTERRA LTD","2005-12-14","Energy",0
"HZN","HORIZON OIL LIMITED","1981-06-30","Energy",208187585
"HZR","HAZER GROUP LIMITED","2015-12-02","Materials",100561808
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","2000-08-08","Insurance",11588069811
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","1987-01-14","Diversified Financials",42003123
"IBC","IRONBARK CAPITAL LIMITED","1987-04-02","Not Applic",53416151
"IBG","IRONBARK ZINC LTD","2006-08-16","Materials",13201058
"IBX","IMAGION BIOSYSTEMS LIMITED","2017-06-22","Health Care Equipment & Services",26911645
"ICE","ICETANA LIMITED","2019-12-23","Software & Services",6577838
"ICG","INCA MINERALS LIMITED","2008-06-19","Materials",11093459
"ICI","ICANDY INTERACTIVE LIMITED","2016-02-04","Media & Entertainment",66749534
"ICIN","ICANDY INTERACTIVE LIMITED","2016-02-04","Media & Entertainment",66749534
"ICL","ICENI GOLD LIMITED","2021-04-14","Materials",17520000
"ICN","ICON ENERGY LIMITED","1997-09-22","Energy",4608082
"ICR","INTELICARE HOLDINGS LIMITED","2020-05-25","Health Care Equipment & Services",2766274
"ICS","ICSGLOBAL LIMITED","1999-12-23","Health Care Equipment & Services","N/A"
"ID8","IDENTITII LIMITED","2018-10-17","Software & Services",7221727
"IDA","INDIANA RESOURCES LIMITED","1986-07-17","Materials",27805767
"IDT","IDT AUSTRALIA LIMITED","1991-02-18","Pharmaceuticals, Biotechnology & Life Sciences",19281744
"IDX","INTEGRAL DIAGNOSTICS LIMITED","2015-10-21","Health Care Equipment & Services",675579798
"IEC","INTRA ENERGY CORPORATION LIMITED","2007-07-04","Energy",5646253
"IEL","IDP EDUCATION LIMITED","2015-11-26","Consumer Services",7567961577
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","1993-03-11","Real Estate",4487825
"IFL","INSIGNIA FINANCIAL LTD","2003-12-05","Diversified Financials",2179365887
"IFM","INFOMEDIA LTD","2000-08-16","Software & Services",441549725
"IFT","INFRATIL LIMITED.","2010-08-30","Utilities",5885986522
"IG6","INTERNATIONAL GRAPHITE LIMITED","2022-04-07","Capital Goods",38812208
"IGL","IVE GROUP LIMITED","2015-12-16","Media & Entertainment",357425666
"IGN","IGNITE LIMITED","1997-01-16","Commercial & Professional Services",6449917
"IGO","IGO LIMITED","2002-01-17","Materials",10162534050
"IHL","INCANNEX HEALTHCARE LIMITED","2007-05-23","Pharmaceuticals, Biotechnology & Life Sciences",269791761
"IHR","INTELLIHR LIMITED","2018-01-23","Software & Services",18699511
"IIQ","INOVIQ LTD","1991-04-18","Health Care Equipment & Services",58431876
"IKE","IKEGPS GROUP LIMITED","2016-11-21","Technology Hardware & Equipment",134174666
"ILA","ISLAND PHARMACEUTICALS LIMITED","2021-04-13","Pharmaceuticals, Biotechnology & Life Sciences",15034667
"ILU","ILUKA RESOURCES LIMITED","1962-06-30","Materials",4062351364
"IMA","IMAGE RESOURCES NL","2002-07-04","Materials",151787106
"IMB","INTELLIGENT MONITORING GROUP LIMITED","1994-03-03","Commercial & Professional Services",20912047
"IMC","IMMURON LIMITED","1999-04-30","Pharmaceuticals, Biotechnology & Life Sciences",19362859
"IMD","IMDEX LIMITED","1987-09-24","Materials",875667137
"IME","IMEXHS LIMITED","2005-12-14","Health Care Equipment & Services",19597503
"IMI","INFINITY MINING LIMITED","2021-12-22","Materials",31408157
"IMM","IMMUTEP LIMITED","1988-06-23","Pharmaceuticals, Biotechnology & Life Sciences",241806297
"IMR","IMRICOR MEDICAL SYSTEMS INC.","2019-08-30","Health Care Equipment & Services",54485145
"IMU","IMUGENE LIMITED","1993-11-24","Pharmaceuticals, Biotechnology & Life Sciences",866931620
"INA","INGENIA COMMUNITIES GROUP","2004-07-01","Real Estate",1838200521
"IND","INDUSTRIAL MINERALS LTD","2021-07-13","Materials",23495000
"INF","INFINITY LITHIUM CORPORATION LIMITED","2011-04-15","Materials",50885130
"ING","INGHAMS GROUP LIMITED","2016-11-07","Food, Beverage & Tobacco",1040702883
"INL","INNLANZ LIMITED","2019-02-22","Retailing",13157072
"INP","INCENTIAPAY LIMITED","2014-09-09","Retailing",8855445
"INR","IONEER LTD","2007-12-19","Materials",776385159
"INV","INVESTSMART GROUP LIMITED","2005-04-21","Diversified Financials",44011548
"IOD","IODM LIMITED","2003-11-18","Software & Services",230322481
"IOU","IOUPAY LIMITED","2000-10-12","Media & Entertainment",25752397
"IPB","IPB PETROLEUM LIMITED","2013-04-30","Energy",3650959
"IPC","IMPERIAL PACIFIC LIMITED","1971-07-28","Diversified Financials",7520866
"IPD","IMPEDIMED LIMITED","2007-10-24","Health Care Equipment & Services",142678932
"IPG","IPD GROUP LTD","2021-12-17","Capital Goods",256506420
"IPH","IPH LIMITED","2014-11-19","Commercial & Professional Services",1965646094
"IPL","INCITEC PIVOT LIMITED","2003-07-28","Materials",7283343859
"IPT","IMPACT MINERALS LIMITED","2006-11-29","Materials",19850964
"IPX","IPERIONX LIMITED","2018-04-16","Materials",114721080
"IR1","IRIS METALS LIMITED","2021-09-23","Materials","N/A"
"IRD","IRON ROAD LIMITED","2008-06-12","Materials",104200370
"IRE","IRESS LIMITED","2000-11-03","Software & Services",1738766905
"IRI","INTEGRATED RESEARCH LIMITED","2000-12-13","Software & Services",77831339
"IRX","INHALERX LIMITED","2017-01-11","Health Care Equipment & Services",11236017
"IS3","I SYNERGY GROUP LIMITED","2017-03-30","Software & Services",7227009
"ITM","ITECH MINERALS LTD","2021-10-21","Materials",31131308
"IVC","INVOCARE LIMITED","2003-12-04","Consumer Services",1571702597
"IVO","INVIGOR GROUP LIMITED","1999-12-03","Media & Entertainment","N/A"
"IVR","INVESTIGATOR RESOURCES LTD","2007-04-03","Materials",58923710
"IVT","INVENTIS LIMITED","1999-04-14","Commercial & Professional Services",4393425
"IVX","INVION LIMITED","2010-02-15","Pharmaceuticals, Biotechnology & Life Sciences",57780829
"IVZ","INVICTUS ENERGY LTD","2012-01-19","Energy",235325252
"IXC","INVEX THERAPEUTICS LTD","2019-07-05","Pharmaceuticals, Biotechnology & Life Sciences",40958847
"IXR","IONIC RARE EARTHS LIMITED","1999-12-10","Materials",134048567
"IXU","IXUP LIMITED","2017-11-15","Software & Services",32946303
"JAL","JAMESON RESOURCES LIMITED","2007-12-18","Materials",35627510
"JAN","JANISON EDUCATION GROUP LIMITED","2000-09-12","Software & Services",133645376
"JAT","JATCORP LIMITED","2008-01-30","Retailing",27477470
"JAV","JAVELIN MINERALS LIMITED","2012-10-09","Materials",9454153
"JAY","JAYRIDE GROUP LIMITED","2018-01-29","Retailing",33364287
"JBH","JB HI-FI LIMITED","2003-10-23","Retailing",4564693707
"JCS","JCURVE SOLUTIONS LTD","2000-12-08","Software & Services",15760485
"JDO","JUDO CAPITAL HOLDINGS LIMITED","2021-11-01","Banks",1426120635
"JGH","JADE GAS HOLDINGS LIMITED","1995-02-13","Materials",68472763
"JHG","JANUS HENDERSON GROUP PLC","2008-10-27","Diversified Financials",6249782276
"JHX","JAMES HARDIE INDUSTRIES PLC","2001-10-15","Materials",11627975962
"JIN","JUMBO INTERACTIVE LIMITED","1972-06-14","Consumer Services",882146714
"JLG","JOHNS LYNG GROUP LIMITED","2017-10-26","Capital Goods",1609049929
"JMS","JUPITER MINES LIMITED.","2018-04-18","Materials",450567938
"JNO","JUNO MINERALS LIMITED","2021-05-14","Materials",12963510
"JPR","JUPITER ENERGY LIMITED","2003-11-12","Energy",36895504
"JRL","JINDALEE RESOURCES LIMITED","2002-07-11","Materials",105864192
"JRV","JERVOIS GLOBAL LIMITED","1980-12-01","Materials",561400460
"JTL","JAYEX TECHNOLOGY LIMITED","2015-12-17","Health Care Equipment & Services",2492285
"JXT","JAXSTA LTD","2010-09-21","Software & Services",12332815
"JYC","JOYCE CORPORATION LTD","1986-12-17","Retailing",100014209
"K2F","K2FLY LIMITED","2008-02-19","Software & Services",30476188
